Product Name,Price,Brand,Discount,Reviews,Rating
"Redmi 13 5G,",12598.00,Redmi,30.00%,4738,4.0
realme NARZO 80,21498.00,realme,17.00%,298,4.3
Redmi Note 14,19999.00,Redmi,20.00%,777,3.8
realme GT 6T,28999.00,realme,19.00%,3971,4.3
realme NARZO 80,19998.00,realme,17.00%,298,4.3
realme GT 7,39998.00,realme,13.00%,,
realme NARZO 80,21498.00,realme,17.00%,298,4.3
Motorola Edge 60,25180.00,Motorola,10.00%,7,3.8
Samsung Galaxy A35,20811.00,Samsung,39.00%,1360,4.0
realme GT 6T,30999.00,realme,18.00%,3971,4.3
realme 13 5G,14185.00,realme,38.00%,71,3.8
Samsung Galaxy F15,12439.00,Samsung,27.00%,311,4.1
Samsung Galaxy S24,49350.00,Samsung,38.00%,710,4.2
realme GT 7T,34998.00,realme,13.00%,,
Motorola G45 5G,10799.00,Motorola,17.00%,54,3.6
realme P3x 5G,12750.00,realme,25.00%,17,3.5
Redmi A3X (Midnight,,Redmi,,500,3.8
OnePlus 13R |,47998.00,OnePlus,8.00%,1615,4.3
Samsung Galaxy A35,26750.00,Samsung,28.00%,1360,4.0
realme GT 7,42998.00,realme,12.00%,,
Redmi 14C 5G,9498.00,Redmi,27.00%,671,4.0
OnePlus Warp Charge,848.00,OnePlus,,1264,4.1
OnePlus Warp Charge,848.00,OnePlus,,1264,4.1
realme GT 7,42998.00,realme,12.00%,,
Redmi A3X (Ocean,,Redmi,,500,3.8
Samsung Galaxy S24,48928.00,Samsung,39.00%,710,4.2
Samsung Galaxy M56,27998.00,Samsung,10.00%,116,3.9
Redmi Watch 5,2049.00,Redmi,59.00%,356,4.0
Samsung Galaxy S24,44469.00,Samsung,41.00%,710,4.2
Redmi Note 14,16999.00,Redmi,23.00%,777,3.8
realme 13 Pro+,21718.00,realme,41.00%,32,3.9
OnePlus 13 |,76998.00,OnePlus,4.00%,1124,4.4
realme 13+ 5G,14966.00,realme,42.00%,138,4.0
OnePlus 13 |,69998.00,OnePlus,4.00%,1124,4.4
realme 13 Pro+,23369.00,realme,40.00%,60,4.0
OnePlus Nord CE4,20998.00,OnePlus,13.00%,6573,4.1
realme P3 5G,15999.00,realme,20.00%,6,4.6
realme 13 5G,14600.00,realme,37.00%,47,3.9
OnePlus Nord CE4,20998.00,OnePlus,13.00%,6573,4.1
Samsung Galaxy A35,23410.00,Samsung,37.00%,1360,4.0
Redmi Note 14,16999.00,Redmi,23.00%,777,3.8
Redmi Note 14,17999.00,Redmi,22.00%,777,3.8
Redmi 14C 5G,9498.00,Redmi,27.00%,671,4.0
Redmi A3X (Olive,,Redmi,,500,3.8
Samsung Galaxy S24,48450.00,Samsung,39.00%,38,4.0
Samsung Galaxy A35,23818.00,Samsung,36.00%,1360,4.0
Redmi 13 5G,12330.00,Redmi,31.00%,4738,4.0
Redmi Note 14,17999.00,Redmi,22.00%,777,3.8
Redmi Note 14,19999.00,Redmi,20.00%,777,3.8
Samsung Galaxy S24,44419.00,Samsung,41.00%,710,4.2
OnePlus 12 (Silky,56998.00,OnePlus,19.00%,805,4.5
Samsung Galaxy M15,13499.00,Samsung,16.00%,2324,4.0
Motorola Edge 60,22999.00,Motorola,21.00%,13,3.6
Redmi Note 14,16999.00,Redmi,23.00%,777,3.8
Samsung Original 25W,999.00,Samsung,41.00%,37799,4.4
realme GT 7,46998.00,realme,11.00%,,
realme NARZO 80,21498.00,realme,17.00%,298,4.3
realme NARZO 80,23498.00,realme,16.00%,298,4.3
Motorola Edge 50,24998.00,Motorola,11.00%,1306,4.0
realme NARZO 80,23498.00,realme,16.00%,298,4.3
Samsung Galaxy M56,30998.00,Samsung,9.00%,116,3.9
realme GT 7T,34998.00,realme,13.00%,,
Samsung Original Type,429.00,Samsung,28.00%,2004,4.2
realme P1 Speed,15799.00,realme,31.00%,24,3.7
Samsung Original 25W,999.00,Samsung,41.00%,37799,4.4
Redmi 12 5G,13499.00,Redmi,25.00%,29611,4.0
Samsung Galaxy A35,20825.00,Samsung,39.00%,1360,4.0
Samsung Galaxy M56,27998.00,Samsung,10.00%,116,3.9
Motorola Edge 50,24948.00,Motorola,11.00%,1306,4.0
Redmi Note 14,25999.00,Redmi,16.00%,17,4.4
